valve_turns,avg_v_ms,avg_q_m3h,avg_q_m3min
1,0,0,0
2,0.05000000000000001,13.8,0.23
3,0.2833333333333334,73.80000000000001,1.2300000000000002
4,0.5666666666666667,147.4,2.4566666666666666
5,0.7866666666666666,204.60000000000002,3.41
6,0.89,232.2,3.8699999999999997
7,0.9766666666666666,254.2,4.236666666666666
8,1.0600000000000003,275.8,4.596666666666667
9,1.0733333333333333,280.2,4.67
10,1.0833333333333333,282.2,4.703333333333333
11,1.0866666666666667,282.99999999999994,4.716666666666666
