valve_turns,avg_v_ms,avg_q_m3h,avg_q_m3min
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,1.5166666666666666,393.59999999999997,6.56
7,1.6733333333333331,433.73333333333335,7.228888888888889
8,1.7733333333333334,459.40000000000003,7.656666666666666
9,1.8133333333333332,470.40000000000003,7.84
10,1.8466666666666667,477.8,7.993333333333332
11,1.883333333333333,488.6666666666667,8.144444444444444
12,1.93,500.5333333333333,8.34222222222222
