msl_height_m,z_factor,area_m2,volume_m3
484.63,1,211325.00902479,332277.4775759
484.62,1,211058.27770945,330165.61958129
484.61,1,210786.34594015,328056.45311079
484.6,1,210219.79659842,325949.91860506
484.59,1,209900.90001909,323849.4152425
484.58,1,209637.95722413,321751.6904048
484.57,1,209377.37102582,319656.62466281
484.56,1,209117.27407094,317564.15200354
484.55,1,208857.29257161,315474.31178432
484.54,1,208597.12542534,313387.07787119
484.53,1,208337.16102611,311302.44037402
484.52,1,208076.92246115,309220.39910664
484.51,1,207816.39314664,307140.97182321
484.5,1,207555.64880843,305064.12543676
484.49,1,207294.72781009,302989.91112946
484.48,1,207033.43648757,300918.31800506
484.47,1,206771.96207513,298849.3125573
484.46,1,206510.03633429,296782.90877462
484.45,1,206247.76426296,294719.12529127
484.44,1,205985.20622411,292657.92873301
484.43,1,205722.3037373,290599.42968546
484.42,1,205458.60890345,288543.54009997
484.41,1,205192.48130815,286490.30408109
484.4,1,204876.89958622,284439.77734765
484.39,1,204085.85206172,282397.1920436
484.38,1,203803.6715711,280357.7164147
484.37,1,203526.5744915,278321.10440568
484.36,1,203251.75548345,276287.21983604
484.35,1,202978.31304503,274256.10523172
484.34,1,202705.75574365,272227.73302023
484.33,1,202433.72542353,270202.03890748
484.32,1,202162.17064559,268179.08902629
484.31,1,201890.99464341,266158.84924827
484.3,1,201620.10651681,264141.27930168
484.29,1,201349.42243904,262126.42692881
484.28,1,201078.90245787,260114.29027808
484.27,1,200808.51692363,258104.8751813
484.26,1,200538.23845028,256098.17218892
484.25,1,200267.99212326,254094.15598559
484.24,1,199997.6017508,252092.85617721
484.23,1,199726.75458073,250094.2780311
484.22,1,199454.80276429,248098.36267822
484.21,1,199178.85965791,246105.25231128
484.2,1,198365.68029505,244114.82575775
484.19,1,198015.09692095,242133.02107857
484.18,1,197723.06612591,240154.30307498
484.17,1,197436.66309624,238178.50845572
484.16,1,197152.43986479,236205.59614223
484.15,1,196869.48172786,234235.51460532
484.14,1,196587.49429505,232268.2327644
484.13,1,196306.20175531,230303.7555997
484.12,1,196025.57930071,228342.1304749
484.11,1,195745.57936885,226383.32931356
484.1,1,195466.09552616,224427.2628695
484.09,1,195187.0223012,222474.02278578
484.08,1,194908.4948171,220523.60156275
484.07,1,194630.44897378,218575.90032225
484.06,1,194352.61308601,216631.03732221
484.05,1,194074.9830749,214688.94886093
484.04,1,193797.34994103,212749.60761007
484.03,1,193519.03586487,210813.06923269
484.02,1,193238.86354812,208879.31916368
484.01,1,192953.02924026,206948.39856754
484,1,192137.16797095,205020.44436534
483.99,1,191573.45535387,203102.96058936
483.98,1,191254.39789953,201188.86802811
483.97,1,190941.4864237,199277.89764115
483.96,1,190630.51904064,197370.06730501
483.95,1,190320.62265539,195465.32259672
483.94,1,190011.75049019,193563.68643349
483.93,1,189703.51551447,191665.13334727
483.92,1,189395.94668525,189769.65674708
483.91,1,189089.27054975,187877.27830699
483.9,1,188783.12101907,185987.9194781
483.89,1,188477.77534064,184101.6297648
483.88,1,188173.01433332,182218.39287652
483.87,1,187868.99017833,180338.21396114
483.86,1,187565.39255292,178461.11727266
483.85,1,187262.15068118,176587.00816302
483.84,1,186959.0263932,174715.94992405
483.83,1,186655.36359357,172847.94079662
483.82,1,186350.40540306,170982.95259077
483.81,1,186041.19340799,169121.09049036
483.8,1,185686.96353669,167262.33677105
483.79,1,184894.34475689,165411.92129295
483.78,1,184633.21793883,163564.27252727
483.77,1,184374.22802529,161719.264604
483.76,1,184115.73578168,159876.83493534
483.75,1,183857.22388016,158037.00929427
483.74,1,183598.6102532,156199.72836917
483.73,1,183339.85556829,154365.05633538
483.72,1,183080.80796276,152532.96537325
483.71,1,182821.70881808,150703.43939148
483.7,1,182562.31954053,148876.54151987
