msl_height,z_factor,surface_area_m2,storage_m3
446.77,1.0,0.0,0.0
446.87,1.0,10946.922953669,744.44215311479
446.97,1.0,11899.025948474,1885.8350784477
447.07,1.0,13220.421673368,3141.0095822103
447.17,1.0,14707.257462933,4535.0974164038
447.27,1.0,16521.194429435,6131.994328537
447.37,1.0,16822.783656013,7799.1349960156
447.47,1.0,17110.790131767,9496.0915831348
447.57,1.0,17397.32941538,11221.386743104
447.67,1.0,17656.581854904,12974.456645138
447.77,1.0,17900.433606085,14752.280555859
447.87,1.0,18169.733518887,16555.268412854
447.97,1.0,18465.543890991,18386.800303348
448.07,1.0,18757.693541794,20248.460388369
448.17,1.0,19050.662319591,22138.617671993
448.27,1.0,19349.593378413,24058.979700356
448.37,1.0,19663.251372924,26009.31272675
448.47,1.0,20040.684094071,27995.228513344
448.57,1.0,20394.730505928,30016.934007925
448.67,1.0,20708.583203774,32073.8141296
448.77,1.0,20954.419559919,34156.927448769
448.87,1.0,21182.983879606,36264.089943475
448.97,1.0,21400.364383369,38393.171705633
449.07,1.0,21640.114188763,40545.034893441
449.17,1.0,21898.394138629,42721.752623528
449.27,1.0,22395.778056536,44938.211310934
449.37,1.0,22793.423075702,47197.601953365
449.47,1.0,23454.168889637,49507.688486285
449.57,1.0,24285.435746549,51893.347378719
449.67,1.0,24954.185044331,54361.512226623
449.77,1.0,25425.415157219,56880.267413526
449.87,1.0,25946.366982557,59454.18146832
449.97,1.0,26230.062194283,62062.863478005
450.07,1.0,26508.631450338,64700.258846484
450.17,1.0,26770.127338561,67364.105087884
450.27,1.0,27048.053936749,70054.992526916
450.37,1.0,27334.848680494,72774.075833816
450.47,1.0,27660.760170715,75523.703910652
450.57,1.0,27995.251173285,78306.558346742
450.67,1.0,28304.067683584,81121.798458196
450.77,1.0,28594.564209121,83966.772811216
450.87,1.0,28859.615341052,86839.639074712
450.97,1.0,29112.30841103,89738.207089129
451.07,1.0,29364.235486797,92662.006728631
451.17,1.0,29619.983841106,95611.144357766
451.27,1.0,29902.083675284,98587.025456336
451.37,1.0,30204.186211503,101592.27014011
451.47,1.0,30671.068359955,104635.21666483
451.57,1.0,31154.314929842,107726.47544101
451.67,1.0,31595.41872353,110865.99130895
451.77,1.0,31966.712979086,114043.96124908
451.87,1.0,32601.793480713,117277.53773076
451.97,1.0,32976.992585873,120556.25873888
452.07,1.0,33374.703531217,123875.2767089
452.17,1.0,33709.359852958,127229.33375308
452.27,1.0,34173.93592505,130626.341634
452.37,1.0,34503.773663961,134060.14290899
452.47,1.0,34893.05448589,137530.39867316
452.57,1.0,35274.695228512,141038.65938979
452.67,1.0,35689.000159767,144588.00337085
452.77,1.0,36048.375307516,148174.75662752
452.87,1.0,36454.859857977,151801.03291417
452.97,1.0,36808.729847673,155463.99521402
453.07,1.0,37198.72918742,159164.32053403
453.17,1.0,37609.424795113,162904.34548256
453.27,1.0,38347.831766846,166703.01279488
453.37,1.0,39004.305615795,170570.71298222
453.47,1.0,39565.332944262,174501.55828845
453.57,1.0,40065.116797933,178482.98993129
453.67,1.0,40665.806681887,182521.79931931
453.77,1.0,41164.066716515,186613.13188165
453.87,1.0,41747.662448196,190760.74610966
453.97,1.0,42238.528329467,194959.74630785
454.07,1.0,42755.245466816,199209.47847277
454.17,1.0,43271.22450736,203510.61660548
454.27,1.0,43800.062920964,207864.75975703
454.37,1.0,44294.306870224,212269.35213352
454.47,1.0,44736.767604423,216722.13314904
454.57,1.0,45119.174289286,221214.82452725
454.67,1.0,45478.487914094,225744.87686569
454.77,1.0,45832.699382573,230310.34093031
454.87,1.0,46236.03936181,234913.23544288
454.97,1.0,46677.845953483,239558.79302854
455.07,1.0,47176.89678578,244251.03525527
455.17,1.0,47703.439237287,248995.04457959
455.27,1.0,48161.501323448,253789.04295469
455.37,1.0,48595.317578314,258626.79544033
455.47,1.0,49040.669391522,263508.38025896
455.57,1.0,49500.141712926,268435.31168163
455.67,1.0,50018.130515956,273413.06700659
455.77,1.0,50432.244860386,278435.54364489
455.87,1.0,50843.782450003,283499.56245497
455.97,1.0,51230.814428519,288603.22084708
456.07,1.0,51654.309178458,293748.50651915
456.17,1.0,52026.124711154,298932.31312506
456.27,1.0,52499.007999554,304159.64176838
456.37,1.0,52927.179453481,309430.75823123
456.47,1.0,53449.69367958,314750.2810463
456.57,1.0,53946.068389849,320120.01694465
456.67,1.0,54564.694101032,325547.95127837
456.77,1.0,55050.689227447,331028.40230141
456.87,1.0,55583.501731517,336561.7736089
456.97,1.0,56027.183920312,342141.9897111
457.07,1.0,56664.367352082,347778.66212632
457.17,1.0,57183.740085384,353470.73669091
457.27,1.0,57835.231936287,359222.78032617
457.37,1.0,58447.827911927,365036.79308913
457.47,1.0,59213.313464118,370919.57987065
457.57,1.0,60018.065904278,376880.7855706
457.67,1.0,61103.626619774,382935.76009295
457.77,1.0,62243.242348546,389102.52082658
457.87,1.0,64154.773331118,395426.92875675
457.97,1.0,65777.87658969,401923.15394253
458.07,1.0,68246.849218295,408639.67464939
458.17,1.0,70004.550467733,415551.52515585
458.27,1.0,72034.993570382,422666.29220251
458.37,1.0,73532.764921616,429944.6102373
458.47,1.0,75477.014179737,437395.88987061
458.57,1.0,77396.675708657,445038.93968503
458.67,1.0,79727.492024118,452905.02683431
458.77,1.0,81617.316169396,460971.87787483
458.87,1.0,84485.119392051,469289.62087385
458.97,1.0,86730.889345784,477849.31516474
459.07,1.0,89953.844214833,486705.15665503
