msl_height,z_factor,surface_area_m2,storage_m3
502.6,1.0,0.0,0.0
502.7,1.0,371.92208831329,18.120666067227
502.8,1.0,2572.3911482256,88.168645561842
502.9,1.0,4377.6580473413,430.86666076212
503.0,1.0,6916.3157827223,988.72180846697
503.1,1.0,8451.14179772,1783.7344624181
503.2,1.0,9549.1570833405,2682.8055928003
503.3,1.0,10696.31017635,3717.0132656721
503.4,1.0,12116.872746047,4823.7672211764
503.5,1.0,13394.639118593,6101.9369292418
503.6,1.0,14503.989510101,7498.0186511776
503.7,1.0,15173.533864883,8985.6615041543
503.8,1.0,15858.962024607,10534.641507297
503.9,1.0,16403.897694816,12147.859667026
504.0,1.0,16966.872764274,13816.186470284
504.1,1.0,17452.082092213,15538.965872761
504.2,1.0,17910.758548552,17307.028855322
504.3,1.0,18404.177160365,19125.4864022
504.4,1.0,18930.314202711,20988.473122751
504.5,1.0,19371.831862875,22903.79465077
504.6,1.0,19816.760462265,24863.175153108
504.7,1.0,20330.12172173,26873.583483042
504.8,1.0,20875.954132898,28929.912826952
504.9,1.0,21332.698181056,31040.496952392
505.0,1.0,21795.552558588,33196.696503869
505.1,1.0,22267.987211218,35403.462901331
505.2,1.0,22681.567265409,37650.77496575
505.3,1.0,23142.273673623,39943.63912752
505.4,1.0,23638.4085285,42280.062484163
505.5,1.0,24091.322078895,44666.673291015
505.6,1.0,24554.005472687,47098.80350556
505.7,1.0,24986.217337442,49577.80362211
505.8,1.0,25398.956183148,52096.013626711
505.9,1.0,25833.360901811,54657.588984115
506.0,1.0,26291.951551759,57263.424249969
506.1,1.0,26850.071842073,59924.81936797
506.2,1.0,27351.136467898,62634.500277517
506.3,1.0,27834.716793585,65397.007183657
506.4,1.0,28313.284900293,68202.074131399
506.5,1.0,28756.994914901,71055.643134204
506.6,1.0,29217.777929835,73954.147204052
506.7,1.0,29747.785394574,76905.949066716
506.8,1.0,30332.657968651,79904.485303494
506.9,1.0,30769.315087682,82960.05256812
507.0,1.0,31200.944858453,86058.410904193
507.1,1.0,31605.632745847,89199.928417909
507.2,1.0,31991.780374827,92379.66524813
507.3,1.0,32392.101570559,95600.693841173
507.4,1.0,32757.453571322,98858.119826919
507.5,1.0,33080.773426096,102150.16421505
507.6,1.0,33384.094234679,105473.62411733
507.7,1.0,33625.048083643,108824.18332053
507.8,1.0,33845.241307908,112197.77778924
507.9,1.0,34048.759185446,115592.47151444
508.0,1.0,34246.904764307,119007.16059759
508.1,1.0,34449.021857245,122441.86183398
508.2,1.0,34659.96885178,125897.21621225
508.3,1.0,34913.769222935,129375.69188412
508.4,1.0,35262.245868042,132881.03553053
508.5,1.0,36010.627890946,136445.45359011
508.6,1.0,36718.704288342,140081.74879034
508.7,1.0,38293.297655905,143859.03082486
508.8,1.0,39395.746044163,147738.01534444
508.9,1.0,40276.126169014,151722.87086011
509.0,1.0,41249.703176755,155791.86707892
509.1,1.0,42334.930222191,159972.31520445
509.2,1.0,43380.157186775,164257.62291977
509.3,1.0,44881.875126236,168689.15186574
509.4,1.0,46385.907284631,173234.06567943
509.5,1.0,48037.862390461,177957.15703546
509.6,1.0,49656.327784134,182840.86787224
509.7,1.0,51440.496100271,187921.1856956
509.8,1.0,53571.52596389,193127.96160267
509.9,1.0,55090.643652206,198562.38111506
