H,CV_NSE_mean,CV_NSE_std
1,0.5036356808974221,0.4236597920134252
2,0.35053385826221106,0.2776720602473536
3,0.029369253966791308,0.44936693044913434
4,-0.19484210620225836,0.4450264702979031
5,-0.41045864800888693,0.5862492793682128
6,-0.6911396208073703,0.8095253955659214
7,-0.7143102548406166,0.7468013672092765
