crop,week,stage,Kc
rubber,1,GS_defoliation,0.63
rubber,2,GS_defoliation,0.63
rubber,3,GS_defoliation,0.63
rubber,4,GS_defoliation,0.63
rubber,5,GS_defoliation,0.63
rubber,6,GS_defoliation,0.63
rubber,7,GS_defoliation,0.63
rubber,8,GS_defoliation,0.63
rubber,9,GS_leaf_flush,0.84
rubber,10,GS_leaf_flush,0.84
rubber,11,GS_leaf_flush,0.84
rubber,12,GS_leaf_flush,0.84
rubber,13,GS_leaf_flush,0.84
rubber,14,GS_leaf_flush,0.84
rubber,15,GS_leaf_flush,0.84
rubber,16,GS_leaf_flush,0.84
rubber,17,GS_mature,1.05
rubber,18,GS_mature,1.05
rubber,19,GS_mature,1.05
rubber,20,GS_mature,1.05
rubber,21,GS_mature,1.05
rubber,22,GS_mature,1.05
rubber,23,GS_mature,1.05
rubber,24,GS_mature,1.05
rubber,25,GS_mature,1.05
rubber,26,GS_mature,1.05
rubber,27,GS_mature,1.05
rubber,28,GS_mature,1.05
rubber,29,GS_mature,1.05
rubber,30,GS_mature,1.05
rubber,31,GS_mature,1.05
rubber,32,GS_mature,1.05
rubber,33,GS_mature,1.05
rubber,34,GS_mature,1.05
rubber,35,GS_mature,1.05
rubber,36,GS_mature,1.05
rubber,37,GS_mature,1.05
rubber,38,GS_mature,1.05
rubber,39,GS_mature,1.05
rubber,40,GS_mature,1.05
rubber,41,GS_mature,1.05
rubber,42,GS_mature,1.05
rubber,43,GS_mature,1.05
rubber,44,GS_mature,1.05
rubber,45,GS_mature,1.05
rubber,46,GS_mature,1.05
rubber,47,GS_mature,1.05
rubber,48,GS_mature,1.05
rubber,49,GS_mature,1.05
rubber,50,GS_mature,1.05
rubber,51,GS_mature,1.05
rubber,52,GS_mature,1.05
